client_id,first_name,last_name,city_residence,age,marital_status,education,phone_num,job_id
1,Thomas,Peterson,Hot Springs,41,Married,Associate degree,832-592-8948,J1
2,Mateo,Parker,Napa,71,Married,High school diploma or equivalent,351-758-3990,J2
3,Brianna,Gonzales,Stoutsville,66,Divorced,Associate degree,619-306-7101,J3
4,Alexandra,Smith,Long Beach,57,Divorced,Associate degree,386-341-9965,J4
5,Olivia,Davis,Fallsburg,18,Divorced,High school diploma or equivalent,973-361-6969,J5
6,Brian,Lewis,Cordele,54,Divorced,Bachelors degree,781-232-4570,J6
7,Aubrey,Flores,Morgan City,25,Married,Bachelors degree,252-156-3219,J7
8,Christopher,Smith,Hollywood,64,Single,"Some college, no degree",501-921-2206,J8
9,Emma,Morgan,Alliance,25,Single,Associate degree,812-409-2614,J9
10,Stephanie,Price,Nampa,50,Married,"Some college, no degree",914-126-4768,J10
11,Charles,Foster,Athens,46,Separated,Bachelors degree,425-554-7607,J11
12,Isaac,Roberts,Deep River,38,Divorced,High school diploma or equivalent,440-845-5763,J12
13,Natalie,Gray,Los Angeles,67,Single,Doctoral degree,312-120-3499,J13
14,Jason,Edwards,Birmingham,30,Married,"Some college, no degree",559-602-8947,J14
15,Thomas,Alexander,Saint Paul,47,Married,High school diploma or equivalent,703-283-1582,J15
16,William,Foster,Beatrice,42,Married,Master’s degree,808-840-2530,J16
17,Benjamin,Williams,Grand Rapids,60,Married,Associate degree,256-988-5980,J17
18,Joshua,Gray,Hartshorne,66,Married,Associate degree,917-016-6539,J18
19,Amanda,Collins,Bally,42,Single,"Some college, no degree",917-688-8426,J19
20,Ava,Sanchez,Stockton,63,Single,Bachelors degree,617-425-7008,J20
21,Theodore,Butler,Columbia,27,Married,Doctoral degree,936-095-7731,J21
22,Tyler,Cook,Tremont City,73,Widowed,Less than high school,278-327-2708,J22
23,John,Rogers,Fishertown,74,Married,Master’s degree,478-992-0557,J23
24,Kelsey,Moore,Buncombe,22,Married,High school diploma or equivalent,727-868-6092,J24
25,Nicholas,Allen,Pigeon Forge,42,Divorced,Master’s degree,703-290-3203,J25
26,Kayla,Wright,Detroit Lakes,29,Married,Doctoral degree,762-661-6409,J26
27,Charlotte,Barnes,Conowingo,44,Divorced,Associate degree,864-761-8547,J27
28,Michelle,Alexander,Houston,18,Married,Less than high school,267-479-2047,J28
29,Jose,Ramirez,Dry Creek,48,Divorced,High school diploma or equivalent,337-031-4396,J29
30,Jason,Torres,Nashville,52,Divorced,Associate degree,628-214-5738,J30
31,Aubrey,Morris,Goodrich,42,Single,Master’s degree,217-505-6991,J31
32,Andrew,Nelson,Lowell,51,Married,Less than high school,610-683-2015,J32
33,Oliver,Harris,Louisville,60,Married,High school diploma or equivalent,716-236-4989,J33
34,Sarah,Scott,Bay City,49,Married,Less than high school,810-069-3629,J34
35,Courtney,Jackson,Seattle,32,Married,Master’s degree,772-797-4551,J35
36,Justin,Gray,Birmingham,64,Single,Less than high school,318-189-7133,J36
37,Emma,Henderson,San Carlos,70,Single,High school diploma or equivalent,810-807-4091,J37
38,Isaac,Bailey,Indianapolis,55,Married,Associate degree,718-795-8455,J38
39,Eleanor,Kelly,Peapack and Gladstone,42,Married,High school diploma or equivalent,706-090-1418,J39
40,Tyler,Williams,Menominee,56,Married,Master’s degree,864-939-7361,J40
41,Emma,Gonzales,Worcester,52,Married,Doctoral degree,414-145-8457,J41
42,Theodore,Morgan,Topeka,41,Married,Master’s degree,856-803-8888,J42
43,Daniel,Gonzales,Bayonne,43,Divorced,Less than high school,412-051-1424,J43
44,Sophia,Carter,Highland Park,25,Married,Doctoral degree,947-211-6919,J44
45,Sean,Washington,Waneta,69,Divorced,Master’s degree,475-960-4261,J45
46,Steven,Cook,Franklin,55,Single,Master’s degree,804-409-0221,J46
