phone_num,client_id,contact,day_of_week,month,duration,contact_type
832-592-8948,1,telephone,Saturday,July,68,cellular
351-758-3990,2,telephone,Wednesday,June,556,cellular
619-306-7101,3,cellular,Tuesday,January,307,cellular
386-341-9965,4,telephone,Friday,August,999,telephone
973-361-6969,5,cellular,Thursday,December,584,telephone
781-232-4570,6,telephone,Thursday,January,800,telephone
252-156-3219,7,telephone,Wednesday,June,143,telephone
501-921-2206,8,cellular,Sunday,January,702,telephone
812-409-2614,9,cellular,Friday,July,925,telephone
914-126-4768,10,cellular,Tuesday,March,507,telephone
425-554-7607,11,telephone,Wednesday,November,999,telephone
440-845-5763,12,telephone,Friday,April,689,telephone
312-120-3499,13,telephone,Saturday,October,760,cellular
559-602-8947,14,cellular,Saturday,April,432,cellular
703-283-1582,15,telephone,Monday,November,999,cellular
808-840-2530,16,telephone,Sunday,June,426,cellular
256-988-5980,17,telephone,Monday,July,866,cellular
917-016-6539,18,cellular,Tuesday,July,721,telephone
917-688-8426,19,cellular,Saturday,May,961,cellular
617-425-7008,20,telephone,Thursday,July,661,telephone
936-095-7731,21,telephone,Monday,March,999,telephone
278-327-2708,22,telephone,Monday,July,999,cellular
478-992-0557,23,telephone,Tuesday,May,999,cellular
727-868-6092,24,cellular,Tuesday,July,999,cellular
703-290-3203,25,telephone,Sunday,December,999,cellular
762-661-6409,26,cellular,Saturday,April,999,cellular
864-761-8547,27,telephone,Sunday,March,999,telephone
267-479-2047,28,telephone,Friday,November,999,cellular
337-031-4396,29,cellular,Friday,May,999,cellular
628-214-5738,30,telephone,Thursday,July,999,telephone
217-505-6991,31,cellular,Thursday,April,999,telephone
610-683-2015,32,cellular,Monday,March,999,cellular
716-236-4989,33,telephone,Tuesday,October,999,telephone
810-069-3629,34,cellular,Friday,April,999,telephone
772-797-4551,35,telephone,Thursday,July,999,telephone
318-189-7133,36,cellular,Sunday,May,999,telephone
810-807-4091,37,telephone,Monday,May,999,telephone
718-795-8455,38,cellular,Monday,November,999,cellular
706-090-1418,39,telephone,Friday,September,999,cellular
864-939-7361,40,cellular,Wednesday,October,377,telephone
414-145-8457,41,cellular,Friday,February,92,cellular
856-803-8888,42,telephone,Tuesday,August,256,telephone
412-051-1424,43,telephone,Sunday,December,693,telephone
947-211-6919,44,cellular,Thursday,April,29,telephone
475-960-4261,45,cellular,Wednesday,May,629,cellular
804-409-0221,46,telephone,Thursday,May,688,cellular
703-304-6840,47,cellular,Saturday,November,369,cellular
585-981-9959,48,cellular,Saturday,March,31,cellular
920-092-5557,49,cellular,Thursday,February,490,telephone
989-733-0138,50,telephone,Saturday,July,999,cellular
207-687-5437,51,telephone,Thursday,May,984,cellular
269-248-6288,52,cellular,Wednesday,December,612,cellular
812-119-2494,53,telephone,Thursday,January,183,cellular
805-450-9192,54,cellular,Wednesday,May,949,cellular
302-674-9639,55,telephone,Monday,June,534,cellular
917-265-8046,56,cellular,Friday,May,999,telephone
630-808-3695,57,telephone,Monday,May,222,telephone
985-631-4071,58,cellular,Monday,November,865,telephone
205-387-5850,59,telephone,Wednesday,March,929,telephone
806-141-3481,60,cellular,Sunday,August,698,telephone
614-098-0324,61,cellular,Sunday,July,756,telephone
989-703-1092,62,cellular,Friday,July,263,cellular
228-987-9520,63,cellular,Saturday,March,827,cellular
816-108-7390,64,telephone,Thursday,September,507,cellular
410-341-6875,65,telephone,Sunday,December,937,cellular
712-782-1773,66,cellular,Tuesday,March,273,cellular
239-961-6225,67,cellular,Friday,October,965,telephone
931-259-4429,68,cellular,Monday,January,578,cellular
415-731-0474,69,cellular,Tuesday,June,930,cellular
516-111-1267,70,telephone,Sunday,June,999,telephone
646-785-7513,71,telephone,Sunday,July,424,cellular
660-513-8293,72,cellular,Saturday,January,999,telephone
935-332-4144,73,cellular,Wednesday,February,611,telephone
913-245-3941,74,cellular,Monday,May,616,cellular
859-056-2630,75,telephone,Monday,November,3,cellular
515-003-2493,76,telephone,Monday,March,197,telephone
626-632-6226,77,telephone,Wednesday,September,999,telephone
215-683-2613,78,telephone,Wednesday,August,641,cellular
720-395-2017,79,telephone,Thursday,December,84,telephone
315-937-5009,80,cellular,Wednesday,April,25,telephone
425-986-8759,81,cellular,Friday,December,417,telephone
220-204-7597,82,telephone,Thursday,July,51,cellular
650-049-6209,83,cellular,Saturday,July,387,telephone
937-121-0383,84,telephone,Sunday,August,467,cellular
743-534-3202,85,telephone,Thursday,November,999,telephone
835-644-3186,86,telephone,Tuesday,April,742,telephone
713-704-2554,87,cellular,Saturday,July,923,cellular
252-457-5798,88,telephone,Tuesday,April,663,telephone
818-786-7015,89,cellular,Tuesday,July,936,telephone
212-894-6113,90,telephone,Tuesday,November,885,cellular
464-987-6756,91,cellular,Friday,June,144,telephone
747-073-0626,92,telephone,Friday,February,832,cellular
515-522-8106,93,cellular,Thursday,February,362,telephone
847-185-0956,94,cellular,Thursday,December,405,telephone
629-452-6536,95,cellular,Wednesday,March,449,telephone
517-623-8124,96,telephone,Saturday,June,999,cellular
218-627-9466,97,telephone,Saturday,June,909,cellular
859-589-4952,98,telephone,Saturday,August,450,cellular
310-997-9224,99,cellular,Tuesday,September,427,cellular
434-368-3348,100,cellular,Thursday,August,125,telephone
